Gene,Species,Chromosome,Type,Type_Start,Type_End
DRD4,Homo sapiens,11,SOX10,637267,637273
DRD4,Homo sapiens,11,Neurod2,637337,637343
DRD4,Homo sapiens,11,Neurod2,637367,637375
DRD4,Homo sapiens,11,NEUROD1,637367,637375
DRD4,Homo sapiens,11,Neurod2,637368,637374
DRD4,Homo sapiens,11,Neurod2,637379,637387
DRD4,Homo sapiens,11,NEUROD1,637379,637387
DRD4,Homo sapiens,11,Neurod2,637380,637386
DRD4,Homo sapiens,11,SOX10,637573,637579
DRD4,Homo sapiens,11,Neurod2,637619,637625
DRD4,Homo sapiens,11,SOX10,637677,637683
DRD4,Homo sapiens,11,Neurod2,637695,637703
DRD4,Homo sapiens,11,NEUROD1,637695,637703
DRD4,Homo sapiens,11,Neurod2,637696,637702
DRD4,Homo sapiens,11,SOX10,637724,637730
DRD4,Homo sapiens,11,Neurod2,637773,637779
DRD4,Homo sapiens,11,Neurod2,637818,637826
DRD4,Homo sapiens,11,NEUROD1,637818,637826
DRD4,Homo sapiens,11,Neurod2,637830,637838
DRD4,Homo sapiens,11,NEUROD1,637830,637838
DRD4,Homo sapiens,11,SOX10,637887,637893
DRD4,Homo sapiens,11,Neurod2,637911,637917
DRD4,Homo sapiens,11,Neurod2,637936,637944
DRD4,Homo sapiens,11,NEUROD1,637936,637944
DRD4,Homo sapiens,11,Neurod2,637937,637943
DRD4,Homo sapiens,11,Neurod2,637952,637960
DRD4,Homo sapiens,11,NEUROD1,637952,637960
DRD4,Homo sapiens,11,Neurod2,637953,637959
DRD4,Homo sapiens,11,MAFA,637957,637970
DRD4,Homo sapiens,11,Neurod2,638037,638045
DRD4,Homo sapiens,11,NEUROD1,638037,638045
DRD4,Homo sapiens,11,Neurod2,638038,638044
DRD4,Homo sapiens,11,Neurod2,638055,638063
DRD4,Homo sapiens,11,NEUROD1,638055,638063
DRD4,Homo sapiens,11,Neurod2,638070,638076
DRD4,Homo sapiens,11,SOX10,638096,638102
DRD4,Homo sapiens,11,Neurod2,638137,638143
DRD4,Homo sapiens,11,STAT3,638138,638147
DRD4,Homo sapiens,11,SOX10,638225,638231
DRD4,Homo sapiens,11,Neurod2,638237,638245
DRD4,Homo sapiens,11,NEUROD1,638237,638245
DRD4,Homo sapiens,11,Neurod2,638258,638264
DRD4,Homo sapiens,11,Neurod2,638270,638276
DRD4,Homo sapiens,11,SOX10,638331,638337
DRD4,Homo sapiens,11,Neurod2,638347,638353
DRD4,Homo sapiens,11,Neurod2,638363,638369
DRD4,Homo sapiens,11,SOX10,638480,638486
DRD4,Homo sapiens,11,SOX10,638598,638604
DRD4,Homo sapiens,11,Neurod2,638607,638615
DRD4,Homo sapiens,11,NEUROD1,638607,638615
DRD4,Homo sapiens,11,Neurod2,638608,638614
DRD4,Homo sapiens,11,SOX10,638650,638656
DRD4,Homo sapiens,11,SOX10,638666,638672
DRD4,Homo sapiens,11,Neurod2,638676,638682
DRD4,Homo sapiens,11,Neurod2,638694,638700
DRD4,Homo sapiens,11,SOX10,638734,638740
DRD4,Homo sapiens,11,STAT3,638789,638798
DRD4,Homo sapiens,11,SOX10,638790,638796
DRD4,Homo sapiens,11,SOX10,638797,638803
DRD4,Homo sapiens,11,SOX10,638808,638814
DRD4,Homo sapiens,11,STAT3,638840,638849
DRD4,Homo sapiens,11,SOX10,638849,638855
DRD4,Homo sapiens,11,SOX10,638858,638864
DRD4,Homo sapiens,11,STAT3,638886,638895
DRD4,Homo sapiens,11,SOX10,638915,638921
DRD4,Homo sapiens,11,Neurod2,638934,638940
DRD4,Homo sapiens,11,Neurod2,638953,638959
DRD4,Homo sapiens,11,STAT3,638961,638970
