Gene,Species,Chromosome,Enh_Prom,Type_Start,Type_End
DRD4,Homo sapiens,11,Enh,202071,202419
DRD4,Homo sapiens,11,Enh,203128,203467
DRD4,Homo sapiens,11,Enh,204916,205220
DRD4,Homo sapiens,11,Enh,206116,206446
DRD4,Homo sapiens,11,Enh,206553,206903
DRD4,Homo sapiens,11,Prom,206903,207170
DRD4,Homo sapiens,11,Prom,207409,207759
DRD4,Homo sapiens,11,Enh,207933,208186
DRD4,Homo sapiens,11,Enh,208197,208363
DRD4,Homo sapiens,11,Prom,208364,208536
DRD4,Homo sapiens,11,Prom,208573,208923
DRD4,Homo sapiens,11,Prom,209123,209331
DRD4,Homo sapiens,11,Enh,209540,209883
DRD4,Homo sapiens,11,Enh,210150,210454
DRD4,Homo sapiens,11,Enh,213351,213606
DRD4,Homo sapiens,11,Enh,215646,215973
DRD4,Homo sapiens,11,Enh,217006,217293
DRD4,Homo sapiens,11,Enh,223960,224192
DRD4,Homo sapiens,11,Enh,225776,226124
DRD4,Homo sapiens,11,Enh,229329,229530
DRD4,Homo sapiens,11,Enh,235604,235765
DRD4,Homo sapiens,11,Enh,235791,236140
DRD4,Homo sapiens,11,Prom,236301,236651
DRD4,Homo sapiens,11,Prom,236749,237090
DRD4,Homo sapiens,11,Prom,237111,237283
DRD4,Homo sapiens,11,Enh,237292,237503
DRD4,Homo sapiens,11,Enh,237511,237832
DRD4,Homo sapiens,11,Enh,240333,240683
DRD4,Homo sapiens,11,Enh,244503,244685
DRD4,Homo sapiens,11,Enh,250760,251109
DRD4,Homo sapiens,11,Enh,251554,251899
DRD4,Homo sapiens,11,Enh,255231,255518
DRD4,Homo sapiens,11,Enh,256940,257167
DRD4,Homo sapiens,11,Enh,257400,257707
DRD4,Homo sapiens,11,Enh,258178,258464
DRD4,Homo sapiens,11,Enh,266816,266967
DRD4,Homo sapiens,11,Enh,267255,267407
DRD4,Homo sapiens,11,Enh,267604,267952
DRD4,Homo sapiens,11,Enh,268102,268433
DRD4,Homo sapiens,11,Enh,268800,269117
DRD4,Homo sapiens,11,Enh,269124,269302
DRD4,Homo sapiens,11,Enh,269419,269765
DRD4,Homo sapiens,11,Enh,270691,270920
DRD4,Homo sapiens,11,Enh,271003,271333
DRD4,Homo sapiens,11,Enh,271464,271814
DRD4,Homo sapiens,11,Enh,272260,272607
DRD4,Homo sapiens,11,Enh,277534,277741
DRD4,Homo sapiens,11,Prom,278145,278485
DRD4,Homo sapiens,11,Prom,278638,278870
DRD4,Homo sapiens,11,Enh,279015,279217
DRD4,Homo sapiens,11,Enh,279295,279645
DRD4,Homo sapiens,11,Enh,279772,279976
DRD4,Homo sapiens,11,Enh,280036,280367
DRD4,Homo sapiens,11,Enh,280399,280682
DRD4,Homo sapiens,11,Enh,280692,281037
DRD4,Homo sapiens,11,Enh,281072,281237
DRD4,Homo sapiens,11,Enh,281252,281538
DRD4,Homo sapiens,11,Enh,281613,281782
DRD4,Homo sapiens,11,Enh,282673,282969
DRD4,Homo sapiens,11,Enh,283029,283248
DRD4,Homo sapiens,11,Enh,283902,284057
DRD4,Homo sapiens,11,Enh,284222,284378
DRD4,Homo sapiens,11,Enh,286419,286750
DRD4,Homo sapiens,11,Enh,287055,287218
DRD4,Homo sapiens,11,Enh,287272,287615
DRD4,Homo sapiens,11,Prom,287770,288013
DRD4,Homo sapiens,11,Prom,288127,288296
DRD4,Homo sapiens,11,Enh,288370,288710
DRD4,Homo sapiens,11,Prom,288931,289274
DRD4,Homo sapiens,11,Prom,289320,289648
DRD4,Homo sapiens,11,Enh,289680,289915
DRD4,Homo sapiens,11,Enh,289998,290342
DRD4,Homo sapiens,11,Enh,290519,290747
DRD4,Homo sapiens,11,Enh,291416,291587
DRD4,Homo sapiens,11,Enh,291597,291774
DRD4,Homo sapiens,11,Enh,292064,292276
DRD4,Homo sapiens,11,Enh,292299,292648
DRD4,Homo sapiens,11,Enh,292882,293101
DRD4,Homo sapiens,11,Enh,293187,293505
DRD4,Homo sapiens,11,Enh,293628,293919
DRD4,Homo sapiens,11,Enh,294060,294376
DRD4,Homo sapiens,11,Enh,295516,295685
DRD4,Homo sapiens,11,Enh,297453,297624
DRD4,Homo sapiens,11,Enh,297645,297988
DRD4,Homo sapiens,11,Enh,298095,298313
DRD4,Homo sapiens,11,Enh,298559,298759
DRD4,Homo sapiens,11,Enh,304970,305245
DRD4,Homo sapiens,11,Enh,305525,305853
DRD4,Homo sapiens,11,Prom,307995,308343
DRD4,Homo sapiens,11,Enh,308421,308621
DRD4,Homo sapiens,11,Enh,309285,309600
DRD4,Homo sapiens,11,Enh,310004,310251
DRD4,Homo sapiens,11,Enh,312039,312267
DRD4,Homo sapiens,11,Enh,312312,312656
DRD4,Homo sapiens,11,Enh,312927,313101
DRD4,Homo sapiens,11,Prom,313332,313564
DRD4,Homo sapiens,11,Prom,313572,313725
DRD4,Homo sapiens,11,Prom,313834,314181
DRD4,Homo sapiens,11,Enh,314343,314558
DRD4,Homo sapiens,11,Enh,315050,315400
DRD4,Homo sapiens,11,Enh,315499,315673
DRD4,Homo sapiens,11,Enh,315731,315994
DRD4,Homo sapiens,11,Enh,316075,316226
DRD4,Homo sapiens,11,Enh,316274,316590
DRD4,Homo sapiens,11,Enh,316671,316837
DRD4,Homo sapiens,11,Enh,317005,317342
DRD4,Homo sapiens,11,Enh,317614,317929
DRD4,Homo sapiens,11,Enh,319520,319870
DRD4,Homo sapiens,11,Enh,320457,320805
DRD4,Homo sapiens,11,Prom,320805,321037
DRD4,Homo sapiens,11,Prom,321111,321280
DRD4,Homo sapiens,11,Enh,324329,324543
DRD4,Homo sapiens,11,Enh,324762,325112
DRD4,Homo sapiens,11,Enh,325957,326115
DRD4,Homo sapiens,11,Enh,326409,326604
DRD4,Homo sapiens,11,Enh,326622,326849
DRD4,Homo sapiens,11,Prom,327014,327363
DRD4,Homo sapiens,11,Prom,327385,327684
DRD4,Homo sapiens,11,Enh,328001,328347
DRD4,Homo sapiens,11,Enh,329384,329732
DRD4,Homo sapiens,11,Enh,330403,330720
DRD4,Homo sapiens,11,Enh,330966,331315
DRD4,Homo sapiens,11,Enh,331361,331644
DRD4,Homo sapiens,11,Enh,331756,331957
DRD4,Homo sapiens,11,Prom,332985,333310
DRD4,Homo sapiens,11,Enh,333914,334249
DRD4,Homo sapiens,11,Enh,334286,334625
DRD4,Homo sapiens,11,Enh,334691,334884
DRD4,Homo sapiens,11,Enh,335637,335833
DRD4,Homo sapiens,11,Enh,335855,336190
DRD4,Homo sapiens,11,Enh,336276,336498
DRD4,Homo sapiens,11,Enh,336576,336819
DRD4,Homo sapiens,11,Enh,336860,337061
DRD4,Homo sapiens,11,Enh,340640,340828
DRD4,Homo sapiens,11,Enh,341491,341841
DRD4,Homo sapiens,11,Enh,342399,342748
DRD4,Homo sapiens,11,Enh,348406,348632
DRD4,Homo sapiens,11,Enh,349339,349554
DRD4,Homo sapiens,11,Enh,350154,350319
DRD4,Homo sapiens,11,Enh,350522,350692
DRD4,Homo sapiens,11,Enh,350755,351105
DRD4,Homo sapiens,11,Enh,352885,353122
DRD4,Homo sapiens,11,Enh,353367,353702
DRD4,Homo sapiens,11,Enh,353913,354244
DRD4,Homo sapiens,11,Enh,354479,354720
DRD4,Homo sapiens,11,Enh,354740,354927
DRD4,Homo sapiens,11,Enh,355208,355542
DRD4,Homo sapiens,11,Enh,355629,355929
DRD4,Homo sapiens,11,Enh,355961,356165
DRD4,Homo sapiens,11,Enh,356167,356499
DRD4,Homo sapiens,11,Enh,356578,356910
DRD4,Homo sapiens,11,Enh,358501,358671
DRD4,Homo sapiens,11,Enh,364322,364672
DRD4,Homo sapiens,11,Enh,368108,368420
DRD4,Homo sapiens,11,Enh,368427,368611
DRD4,Homo sapiens,11,Enh,368616,368837
DRD4,Homo sapiens,11,Enh,369009,369282
DRD4,Homo sapiens,11,Enh,369288,369621
DRD4,Homo sapiens,11,Prom,369681,369995
DRD4,Homo sapiens,11,Enh,370015,370359
DRD4,Homo sapiens,11,Enh,370555,370779
DRD4,Homo sapiens,11,Enh,370984,371141
DRD4,Homo sapiens,11,Enh,371712,372051
DRD4,Homo sapiens,11,Enh,374085,374424
DRD4,Homo sapiens,11,Enh,392915,393099
DRD4,Homo sapiens,11,Enh,393252,393578
DRD4,Homo sapiens,11,Enh,393640,393821
DRD4,Homo sapiens,11,Prom,393967,394313
DRD4,Homo sapiens,11,Enh,394512,394828
DRD4,Homo sapiens,11,Enh,394838,394993
DRD4,Homo sapiens,11,Enh,395053,395306
DRD4,Homo sapiens,11,Enh,396021,396192
DRD4,Homo sapiens,11,Enh,396515,396702
DRD4,Homo sapiens,11,Enh,396815,396977
DRD4,Homo sapiens,11,Enh,397028,397241
DRD4,Homo sapiens,11,Enh,397257,397458
DRD4,Homo sapiens,11,Enh,404173,404498
DRD4,Homo sapiens,11,Enh,405633,405860
DRD4,Homo sapiens,11,Enh,406214,406559
DRD4,Homo sapiens,11,Enh,406884,407234
DRD4,Homo sapiens,11,Enh,407357,407521
DRD4,Homo sapiens,11,Enh,407722,407885
DRD4,Homo sapiens,11,Enh,408140,408391
DRD4,Homo sapiens,11,Enh,408476,408648
DRD4,Homo sapiens,11,Enh,409565,409872
DRD4,Homo sapiens,11,Prom,409905,410201
DRD4,Homo sapiens,11,Enh,410260,410458
DRD4,Homo sapiens,11,Enh,413250,413548
DRD4,Homo sapiens,11,Enh,413708,413887
DRD4,Homo sapiens,11,Enh,414330,414661
DRD4,Homo sapiens,11,Prom,414985,415335
DRD4,Homo sapiens,11,Enh,415441,415787
DRD4,Homo sapiens,11,Enh,415874,416105
DRD4,Homo sapiens,11,Enh,416145,416322
DRD4,Homo sapiens,11,Enh,416516,416767
DRD4,Homo sapiens,11,Enh,416810,417037
DRD4,Homo sapiens,11,Prom,417069,417259
DRD4,Homo sapiens,11,Prom,417261,417608
DRD4,Homo sapiens,11,Enh,417768,417959
DRD4,Homo sapiens,11,Enh,422321,422669
DRD4,Homo sapiens,11,Enh,440200,440543
DRD4,Homo sapiens,11,Enh,440833,440987
DRD4,Homo sapiens,11,Enh,441056,441388
DRD4,Homo sapiens,11,Enh,441679,441854
DRD4,Homo sapiens,11,Prom,441912,442120
DRD4,Homo sapiens,11,Enh,442652,442968
DRD4,Homo sapiens,11,Enh,443618,443967
DRD4,Homo sapiens,11,Enh,444377,444707
DRD4,Homo sapiens,11,Enh,445788,446132
DRD4,Homo sapiens,11,Enh,446189,446441
DRD4,Homo sapiens,11,Enh,447010,447195
DRD4,Homo sapiens,11,Enh,448081,448422
DRD4,Homo sapiens,11,Enh,448577,448756
DRD4,Homo sapiens,11,Enh,448814,449127
DRD4,Homo sapiens,11,Enh,449374,449607
DRD4,Homo sapiens,11,Enh,449714,449988
DRD4,Homo sapiens,11,Prom,450080,450427
DRD4,Homo sapiens,11,Enh,450429,450593
DRD4,Homo sapiens,11,Enh,450593,450834
DRD4,Homo sapiens,11,Enh,450897,451246
DRD4,Homo sapiens,11,Enh,451252,451452
DRD4,Homo sapiens,11,Enh,455841,456147
DRD4,Homo sapiens,11,Enh,456644,456993
DRD4,Homo sapiens,11,Enh,457157,457499
DRD4,Homo sapiens,11,Enh,459889,460175
DRD4,Homo sapiens,11,Enh,460504,460850
DRD4,Homo sapiens,11,Enh,465958,466291
DRD4,Homo sapiens,11,Enh,468148,468325
DRD4,Homo sapiens,11,Enh,468590,468753
DRD4,Homo sapiens,11,Enh,469105,469390
DRD4,Homo sapiens,11,Enh,469754,469937
DRD4,Homo sapiens,11,Enh,470030,470189
DRD4,Homo sapiens,11,Enh,470355,470556
DRD4,Homo sapiens,11,Enh,473982,474235
DRD4,Homo sapiens,11,Enh,474256,474603
DRD4,Homo sapiens,11,Enh,476074,476273
DRD4,Homo sapiens,11,Enh,477088,477429
DRD4,Homo sapiens,11,Enh,477586,477794
DRD4,Homo sapiens,11,Enh,492827,493171
DRD4,Homo sapiens,11,Enh,494764,495100
DRD4,Homo sapiens,11,Enh,496835,497026
DRD4,Homo sapiens,11,Enh,500673,500889
DRD4,Homo sapiens,11,Enh,501971,502152
DRD4,Homo sapiens,11,Enh,502290,502563
DRD4,Homo sapiens,11,Enh,502747,503072
DRD4,Homo sapiens,11,Enh,503178,503363
DRD4,Homo sapiens,11,Prom,503370,503708
DRD4,Homo sapiens,11,Enh,503710,503894
DRD4,Homo sapiens,11,Enh,503941,504288
DRD4,Homo sapiens,11,Enh,504349,504605
DRD4,Homo sapiens,11,Enh,504629,504952
DRD4,Homo sapiens,11,Enh,505106,505261
DRD4,Homo sapiens,11,Enh,505493,505801
DRD4,Homo sapiens,11,Enh,505815,506016
DRD4,Homo sapiens,11,Enh,506228,506578
DRD4,Homo sapiens,11,Prom,506679,507026
DRD4,Homo sapiens,11,Prom,507177,507526
DRD4,Homo sapiens,11,Enh,507576,507851
DRD4,Homo sapiens,11,Enh,507854,508016
DRD4,Homo sapiens,11,Enh,508194,508533
DRD4,Homo sapiens,11,Enh,509027,509339
DRD4,Homo sapiens,11,Enh,511674,511971
DRD4,Homo sapiens,11,Enh,512792,513138
DRD4,Homo sapiens,11,Enh,513787,513980
DRD4,Homo sapiens,11,Enh,515204,515554
DRD4,Homo sapiens,11,Enh,518503,518657
DRD4,Homo sapiens,11,Enh,518736,519083
DRD4,Homo sapiens,11,Enh,520715,521006
DRD4,Homo sapiens,11,Enh,528193,528507
DRD4,Homo sapiens,11,Enh,533279,533488
DRD4,Homo sapiens,11,Enh,533660,533908
DRD4,Homo sapiens,11,Prom,534059,534323
DRD4,Homo sapiens,11,Enh,534608,534948
DRD4,Homo sapiens,11,Enh,534994,535202
DRD4,Homo sapiens,11,Prom,535505,535855
DRD4,Homo sapiens,11,Enh,536110,536391
DRD4,Homo sapiens,11,Enh,536401,536611
DRD4,Homo sapiens,11,Enh,536681,536882
DRD4,Homo sapiens,11,Enh,536912,537136
DRD4,Homo sapiens,11,Prom,537205,537554
DRD4,Homo sapiens,11,Enh,537848,538065
DRD4,Homo sapiens,11,Enh,538101,538390
DRD4,Homo sapiens,11,Enh,548800,548979
DRD4,Homo sapiens,11,Enh,549001,549259
DRD4,Homo sapiens,11,Enh,551598,551920
DRD4,Homo sapiens,11,Enh,553964,554288
DRD4,Homo sapiens,11,Enh,554480,554740
DRD4,Homo sapiens,11,Enh,554921,555271
DRD4,Homo sapiens,11,Enh,555285,555445
DRD4,Homo sapiens,11,Enh,555495,555654
DRD4,Homo sapiens,11,Enh,555667,555858
DRD4,Homo sapiens,11,Enh,555942,556168
DRD4,Homo sapiens,11,Enh,556174,556438
DRD4,Homo sapiens,11,Enh,559013,559233
DRD4,Homo sapiens,11,Enh,559254,559516
DRD4,Homo sapiens,11,Enh,559737,560075
DRD4,Homo sapiens,11,Prom,560082,560392
DRD4,Homo sapiens,11,Prom,560402,560608
DRD4,Homo sapiens,11,Prom,560660,561010
DRD4,Homo sapiens,11,Prom,561139,561305
DRD4,Homo sapiens,11,Prom,561370,561654
DRD4,Homo sapiens,11,Enh,561756,561913
DRD4,Homo sapiens,11,Enh,562068,562269
DRD4,Homo sapiens,11,Enh,562298,562628
DRD4,Homo sapiens,11,Enh,563339,563687
DRD4,Homo sapiens,11,Enh,563810,564103
DRD4,Homo sapiens,11,Enh,564237,564477
DRD4,Homo sapiens,11,Enh,565894,566056
DRD4,Homo sapiens,11,Enh,566243,566483
DRD4,Homo sapiens,11,Enh,567535,567819
DRD4,Homo sapiens,11,Prom,567890,568107
DRD4,Homo sapiens,11,Prom,568140,568327
DRD4,Homo sapiens,11,Prom,568408,568758
DRD4,Homo sapiens,11,Enh,569033,569355
DRD4,Homo sapiens,11,Enh,569475,569743
DRD4,Homo sapiens,11,Enh,574225,574461
DRD4,Homo sapiens,11,Enh,574677,574933
DRD4,Homo sapiens,11,Enh,574967,575142
DRD4,Homo sapiens,11,Enh,575147,575357
DRD4,Homo sapiens,11,Enh,575421,575686
DRD4,Homo sapiens,11,Enh,575718,575997
DRD4,Homo sapiens,11,Enh,576002,576310
DRD4,Homo sapiens,11,Prom,576314,576498
DRD4,Homo sapiens,11,Enh,576929,577230
DRD4,Homo sapiens,11,Enh,577296,577622
DRD4,Homo sapiens,11,Enh,578319,578584
DRD4,Homo sapiens,11,Enh,578592,578763
DRD4,Homo sapiens,11,Enh,578825,579136
DRD4,Homo sapiens,11,Enh,579217,579412
DRD4,Homo sapiens,11,Enh,580120,580354
DRD4,Homo sapiens,11,Enh,581182,581495
DRD4,Homo sapiens,11,Enh,581852,582180
DRD4,Homo sapiens,11,Enh,582324,582564
DRD4,Homo sapiens,11,Enh,587545,587884
DRD4,Homo sapiens,11,Enh,587979,588328
DRD4,Homo sapiens,11,Enh,591056,591398
DRD4,Homo sapiens,11,Enh,595815,595985
DRD4,Homo sapiens,11,Enh,597242,597395
DRD4,Homo sapiens,11,Enh,606266,606613
